display_name,works_count,author_id,works_api_url,h_index,country_code
Rob M.P. Goverde,224,https://openalex.org/A5060145801,https://api.openalex.org/works?filter=author.id:A5060145801,46,NL
Nir Piterman,199,https://openalex.org/A5045161607,https://api.openalex.org/works?filter=author.id:A5045161607,36,SE
E. Sefusatti,141,https://openalex.org/A5023823844,https://api.openalex.org/works?filter=author.id:A5023823844,35,IT
W.K. Korthals Altes,141,https://openalex.org/A5080244336,https://api.openalex.org/works?filter=author.id:A5080244336,20,NL
Mirna Safi,138,https://openalex.org/A5022226726,https://api.openalex.org/works?filter=author.id:A5022226726,19,FR
S. Virdis,117,https://openalex.org/A5029338444,https://api.openalex.org/works?filter=author.id:A5029338444,24,TH
Babak Heydari,105,https://openalex.org/A5030641600,https://api.openalex.org/works?filter=author.id:A5030641600,21,
Ding Liang,93,https://openalex.org/A5100751872,https://api.openalex.org/works?filter=author.id:A5100751872,25,CN
Robert J. Mokken,82,https://openalex.org/A5020623084,https://api.openalex.org/works?filter=author.id:A5020623084,16,NL
Chul‐joo Lee,77,https://openalex.org/A5077845674,https://api.openalex.org/works?filter=author.id:A5077845674,25,KR
Bill McEvily,60,https://openalex.org/A5072283975,https://api.openalex.org/works?filter=author.id:A5072283975,29,CA
R.A. Otte,53,https://openalex.org/A5007418976,https://api.openalex.org/works?filter=author.id:A5007418976,13,FI
Ravi Bhavnani,53,https://openalex.org/A5010312282,https://api.openalex.org/works?filter=author.id:A5010312282,14,CH
Luisa Leolini,51,https://openalex.org/A5030961493,https://api.openalex.org/works?filter=author.id:A5030961493,19,IT
Nikolaus Weichselbaumer,43,https://openalex.org/A5010354621,https://api.openalex.org/works?filter=author.id:A5010354621,4,DE
Katalin Füzér,16,https://openalex.org/A5010562415,https://api.openalex.org/works?filter=author.id:A5010562415,4,HU
Jonathan Gips,13,https://openalex.org/A5073521746,https://api.openalex.org/works?filter=author.id:A5073521746,9,US
Robert Hurling,3,https://openalex.org/A5062937111,https://api.openalex.org/works?filter=author.id:A5062937111,1,
Sophie Eisenberg-Edidin,2,https://openalex.org/A5054511722,https://api.openalex.org/works?filter=author.id:A5054511722,1,US
K. Andreas Friedrich,952,https://openalex.org/A5002527622,https://api.openalex.org/works?filter=author.id:A5002527622,73,DE
Anton Strezhnev,584,https://openalex.org/A5046865751,https://api.openalex.org/works?filter=author.id:A5046865751,13,US
Paul Van Dooren,489,https://openalex.org/A5036923077,https://api.openalex.org/works?filter=author.id:A5036923077,59,BE
Katy Börner,361,https://openalex.org/A5068784452,https://api.openalex.org/works?filter=author.id:A5068784452,46,US
Fabrizio Sebastiani,311,https://openalex.org/A5063975186,https://api.openalex.org/works?filter=author.id:A5063975186,43,IT
Daniel Fu Keung Wong,241,https://openalex.org/A5035751414,https://api.openalex.org/works?filter=author.id:A5035751414,39,HK
Didier Schwab,237,https://openalex.org/A5013799481,https://api.openalex.org/works?filter=author.id:A5013799481,16,DE
Ming Yang,159,https://openalex.org/A5020652950,https://api.openalex.org/works?filter=author.id:A5020652950,34,CN
Vincenzo Nicosia,148,https://openalex.org/A5059033705,https://api.openalex.org/works?filter=author.id:A5059033705,32,GB
Christopher Avery,139,https://openalex.org/A5064041384,https://api.openalex.org/works?filter=author.id:A5064041384,36,US
Feng Ji,137,https://openalex.org/A5028258863,https://api.openalex.org/works?filter=author.id:A5028258863,14,RU
Menglan Hu,84,https://openalex.org/A5058697648,https://api.openalex.org/works?filter=author.id:A5058697648,25,CN
Yu Zhao,82,https://openalex.org/A5100660064,https://api.openalex.org/works?filter=author.id:A5100660064,19,CN
Jingjing Ren,62,https://openalex.org/A5067837042,https://api.openalex.org/works?filter=author.id:A5067837042,14,CN
Anne O’Brien,61,https://openalex.org/A5108023874,https://api.openalex.org/works?filter=author.id:A5108023874,16,IE
Waleed Meleis,58,https://openalex.org/A5056980887,https://api.openalex.org/works?filter=author.id:A5056980887,16,US
Tina Baier,40,https://openalex.org/A5011186098,https://api.openalex.org/works?filter=author.id:A5011186098,14,NO
Philipp Lutscher,40,https://openalex.org/A5019945625,https://api.openalex.org/works?filter=author.id:A5019945625,8,
Vikram Krishnasamy,36,https://openalex.org/A5057904061,https://api.openalex.org/works?filter=author.id:A5057904061,19,US
Engin Bozdag,17,https://openalex.org/A5081271375,https://api.openalex.org/works?filter=author.id:A5081271375,8,US
Heather H. Pierce,13,https://openalex.org/A5101482863,https://api.openalex.org/works?filter=author.id:A5101482863,6,US
Shuqi Cui,9,https://openalex.org/A5110679800,https://api.openalex.org/works?filter=author.id:A5110679800,4,CN
Rita Kleinrahm,6,https://openalex.org/A5012380809,https://api.openalex.org/works?filter=author.id:A5012380809,4,DE
Tamara Raats,2,https://openalex.org/A5036348416,https://api.openalex.org/works?filter=author.id:A5036348416,2,NL
Jeffrey Brodscholl,2,https://openalex.org/A5087570337,https://api.openalex.org/works?filter=author.id:A5087570337,2,
Richard P. Bagozzi,517,https://openalex.org/A5068331895,https://api.openalex.org/works?filter=author.id:A5068331895,122,US
Anna Goldenberg,420,https://openalex.org/A5087983309,https://api.openalex.org/works?filter=author.id:A5087983309,47,CA
Zhiyong Wang,390,https://openalex.org/A5100443935,https://api.openalex.org/works?filter=author.id:A5100443935,37,CN
Furong Zhu,338,https://openalex.org/A5036754641,https://api.openalex.org/works?filter=author.id:A5036754641,55,CN
Xiao He,226,https://openalex.org/A5042605160,https://api.openalex.org/works?filter=author.id:A5042605160,38,CN
Cheng Zhang,181,https://openalex.org/A5100439585,https://api.openalex.org/works?filter=author.id:A5100439585,38,CN
Qingyuan Zhao,156,https://openalex.org/A5067417184,https://api.openalex.org/works?filter=author.id:A5067417184,27,CN
Qiang Lü,100,https://openalex.org/A5024923124,https://api.openalex.org/works?filter=author.id:A5024923124,40,US
Yiqing Xu,93,https://openalex.org/A5110304506,https://api.openalex.org/works?filter=author.id:A5110304506,26,US
Chander Velu,86,https://openalex.org/A5040148096,https://api.openalex.org/works?filter=author.id:A5040148096,16,GB
Giovanni Quattrone,75,https://openalex.org/A5074995102,https://api.openalex.org/works?filter=author.id:A5074995102,20,IT
Sutirtha Chatterjee,74,https://openalex.org/A5012258097,https://api.openalex.org/works?filter=author.id:A5012258097,22,US
Matej Martinc,71,https://openalex.org/A5000491019,https://api.openalex.org/works?filter=author.id:A5000491019,13,SI
Cong Xu,67,https://openalex.org/A5033194021,https://api.openalex.org/works?filter=author.id:A5033194021,21,CN
Davide Piacentino,61,https://openalex.org/A5007824982,https://api.openalex.org/works?filter=author.id:A5007824982,10,
Ingmar Andréasson,61,https://openalex.org/A5034429615,https://api.openalex.org/works?filter=author.id:A5034429615,17,IR
Jose A. Suaya,45,https://openalex.org/A5108099536,https://api.openalex.org/works?filter=author.id:A5108099536,30,US
Zhuhao Wang,34,https://openalex.org/A5086027193,https://api.openalex.org/works?filter=author.id:A5086027193,7,CN
Ansley Post,27,https://openalex.org/A5022593407,https://api.openalex.org/works?filter=author.id:A5022593407,19,US
Samuel Arbesman,27,https://openalex.org/A5027903946,https://api.openalex.org/works?filter=author.id:A5027903946,13,
Ulrika Geber,26,https://openalex.org/A5020863031,https://api.openalex.org/works?filter=author.id:A5020863031,9,
Dessi Kirilova,24,https://openalex.org/A5113226715,https://api.openalex.org/works?filter=author.id:A5113226715,5,
Rohail Asim,14,https://openalex.org/A5076162556,https://api.openalex.org/works?filter=author.id:A5076162556,2,US
Michelle L. Futerfas,2,https://openalex.org/A5013226317,https://api.openalex.org/works?filter=author.id:A5013226317,2,US
Juan Pablo Orjuela Mendoza,1,https://openalex.org/A5069790362,https://api.openalex.org/works?filter=author.id:A5069790362,1,GB
Gerhard‐Wilhelm Weber,635,https://openalex.org/A5070641581,https://api.openalex.org/works?filter=author.id:A5070641581,61,AT
P. Quénel,296,https://openalex.org/A5106691622,https://api.openalex.org/works?filter=author.id:A5106691622,28,FR
Ling Liu,283,https://openalex.org/A5018487116,https://api.openalex.org/works?filter=author.id:A5018487116,24,CN
